Time [s],Channel 0,Channel 1
97.431063960,1,0
97.448110380,1,1
97.450989380,0,1
97.468064640,0,0
97.471042140,1,0
97.488085250,1,1
97.490991450,0,1
97.508047290,0,0
97.511158330,1,0
97.528015070,1,1
97.530877580,0,1
97.548056980,0,0
97.551073500,1,0
97.568141620,1,1
97.570988800,0,1
97.588092420,0,0
97.591075690,1,0
97.608096490,1,1
97.610983410,0,1
97.628041670,0,0
97.630986130,1,0
97.648173770,1,1
97.651063520,0,1
97.668056640,0,0
97.671188450,1,0
97.688025660,1,1
97.690892840,0,1
97.709677640,0,0
97.712818720,1,0
97.728334780,1,1
97.731254200,0,1
97.748082060,0,0
97.751048250,1,0
97.768124120,1,1
97.771014110,0,1
97.787962120,0,0
97.790937100,1,0
97.808057570,1,1
97.810923990,0,1
97.828054410,0,0
97.831175680,1,0
97.847885520,1,1
97.850688750,0,1
97.868096690,0,0
97.871054820,1,0
97.888235690,1,1
97.891137760,0,1
97.908027020,0,0
97.911011800,1,0
97.927995410,1,1
97.930835720,0,1
97.948053080,0,0
97.951038670,1,0
97.968085130,1,1
97.970968550,0,1
97.988049480,0,0
97.991230100,1,0
98.008116310,1,1
98.011016030,0,1
98.028164540,0,0
98.031162070,1,0
98.048142740,1,1
98.051098060,0,1
98.067999740,0,0
98.070968000,1,0
98.088054810,1,1
98.090926790,0,1
98.108050330,0,0
98.111099350,1,0
98.128112710,1,1
98.131085470,0,1
98.148080950,0,0
98.151233290,1,0
98.168189790,1,1
98.171115560,0,1
98.189861360,0,0
98.193366930,1,0
98.208239470,1,1
98.211147250,0,1
98.228018690,0,0
98.231027430,1,0
98.248106180,1,1
98.250973930,0,1
98.268348350,0,0
98.271507820,1,0
98.288059490,1,1
98.290896220,0,1
98.308050570,0,0
98.311120110,1,0
98.328024790,1,1
98.330879140,0,1
98.348109820,0,0
98.351042440,1,0
98.368124670,1,1
98.370964450,0,1
98.387862160,0,0
98.390805690,1,0
98.408079780,1,1
98.410992470,0,1
98.427845600,0,0
98.430838000,1,0
98.447963910,1,1
98.450837360,0,1
98.468016680,0,0
98.471140640,1,0
98.488078930,1,1
98.490913960,0,1
98.507998230,0,0
98.510913240,1,0
98.528023580,1,1
98.530890740,0,1
98.547960380,0,0
98.550977190,1,0
98.568118510,1,1
98.570985280,0,1
98.588080890,0,0
98.591068900,1,0
98.608032800,1,1
98.611173740,0,1
98.628040550,0,0
98.631153740,1,0
98.647986450,1,1
98.650841580,0,1
98.668050650,0,0
98.671226470,1,0
98.688212630,1,1
98.691109310,0,1
98.710109060,0,0
98.713317010,1,0
98.728282740,1,1
98.731239230,0,1
98.747936120,0,0
98.750907600,1,0
98.768032700,1,1
98.770874390,0,1
98.788084090,0,0
98.791149800,1,0
98.808047810,1,1
98.810900250,0,1
98.828247740,0,0
98.831215900,1,0
98.848110030,1,1
98.851003640,0,1
98.868085070,0,0
98.871034430,1,0
98.888143740,1,1
98.891000230,0,1
98.908139550,0,0
98.911136950,1,0
98.928035640,1,1
98.930903140,0,1
98.947883660,0,0
98.950935020,1,0
98.968555940,1,1
98.971418410,0,1
98.988192130,0,0
98.991175370,1,0
99.008089100,1,1
99.010951560,0,1
99.028151750,0,0
99.031116150,1,0
99.048155100,1,1
99.051041630,0,1
99.067917950,0,0
99.070933900,1,0
99.088046870,1,1
99.090896830,0,1
99.108094310,0,0
99.111186060,1,0
99.127951990,1,1
99.130836970,0,1
99.148195550,0,0
99.151202190,1,0
99.168131270,1,1
99.171006080,0,1
99.188231930,0,0
99.191229430,1,0
99.208072900,1,1
99.210961620,0,1
99.228015520,0,0
99.230974940,1,0
99.248092150,1,1
99.250921810,0,1
99.267901250,0,0
99.271102460,1,0
99.288103630,1,1
99.290986940,0,1
99.308259200,0,0
99.311418970,1,0
99.328138890,1,1
99.331035240,0,1
99.348031920,0,0
99.351030260,1,0
99.368143950,1,1
99.371071280,0,1
99.388035500,0,0
99.391006530,1,0
99.408100720,1,1
99.410998060,0,1
99.428010190,0,0
99.431228020,1,0
99.447926420,1,1
99.450811230,0,1
99.468118290,0,0
99.471113100,1,0
99.488186770,1,1
99.491048090,0,1
99.508098170,0,0
99.511134720,1,0
99.528195640,1,1
99.531088750,0,1
99.548007240,0,0
99.551140300,1,0
99.568049230,1,1
99.570931020,0,1
99.588133850,0,0
99.591215200,1,0
99.608464840,1,1
99.611375710,0,1
99.628087840,0,0
99.631072800,1,0
99.648227320,1,1
99.651133240,0,1
99.667928850,0,0
99.670915700,1,0
99.688100580,1,1
99.690998390,0,1
99.710517220,0,0
99.713647570,1,0
99.728255180,1,1
99.731130620,0,1
99.747941470,0,0
99.751043100,1,0
99.767959720,1,1
99.770821260,0,1
99.788081310,0,0
99.791060070,1,0
99.808094470,1,1
99.810979540,0,1
99.828100200,0,0
99.831111310,1,0
99.848051800,1,1
99.850926260,0,1
99.867934380,0,0
99.870871040,1,0
99.888368070,1,1
99.891228210,0,1
99.908086430,0,0
99.911210970,1,0
99.929422780,1,1
99.932492240,0,1
99.948035930,0,0
99.950956170,1,0
99.968126810,1,1
99.971007550,0,1
99.988066740,0,0
99.991661230,1,0
100.008240260,1,1
100.011128320,0,1
100.028117670,0,0
100.031123280,1,0
100.048073050,1,1
100.051010320,0,1
100.068115820,0,0
100.071224630,1,0
100.088063460,1,1
100.091025490,0,1
100.108162620,0,0
100.111142930,1,0
100.128152230,1,1
100.131044670,0,1
100.147957330,0,0
100.150962680,1,0
100.168242570,1,1
100.171175920,0,1
100.188257560,0,0
100.191384010,1,0
100.208109120,1,1
100.211006210,0,1
100.228057650,0,0
100.231157560,1,0
100.248132690,1,1
100.250998020,0,1
100.268253690,0,0
100.271235930,1,0
100.288102140,1,1
100.291020400,0,1
100.308076410,0,0
100.311089890,1,0
100.328162410,1,1
100.331111450,0,1
100.348110930,0,0
100.351108590,1,0
100.368137020,1,1
100.371039870,0,1
100.388024260,0,0
100.391260730,1,0
100.407984560,1,1
100.410859230,0,1
100.428104080,0,0
100.431088040,1,0
100.448123820,1,1
100.450992760,0,1
100.468190480,0,0
100.471179220,1,0
100.488075470,1,1
100.490958170,0,1
100.507879090,0,0
100.510778050,1,0
100.528087350,1,1
100.530976420,0,1
100.548008810,0,0
100.551245020,1,0
100.568002780,1,1
100.570901930,0,1
100.588140110,0,0
100.591137210,1,0
100.608214230,1,1
100.611131790,0,1
100.628038170,0,0
100.631015040,1,0
100.648151180,1,1
100.651081920,0,1
100.667957580,0,0
100.670949420,1,0
100.688068010,1,1
100.690956790,0,1
100.711229030,0,0
100.714354370,1,0
100.728293200,1,1
100.731195330,0,1
100.748136790,0,0
100.751091510,1,0
100.768079340,1,1
100.770927080,0,1
100.787962360,0,0
100.790928430,1,0
100.808081730,1,1
100.810966140,0,1
100.827937950,0,0
100.830960060,1,0
100.848073360,1,1
100.850946150,0,1
100.867906500,0,0
100.871027860,1,0
100.888101390,1,1
100.890996890,0,1
100.908083070,0,0
100.911141780,1,0
100.928102860,1,1
100.930983060,0,1
100.948039520,0,0
100.951000750,1,0
100.968205670,1,1
100.971104660,0,1
100.987930480,0,0
100.990920450,1,0
101.008092560,1,1
101.011579850,0,1
101.028182920,0,0
101.031296880,1,0
101.048021890,1,1
101.050889040,0,1
101.068096040,0,0
101.071219260,1,0
101.088153820,1,1
101.091073370,0,1
101.107963050,0,0
101.110938180,1,0
101.128138620,1,1
101.131034750,0,1
101.147914840,0,0
101.150912500,1,0
101.168195460,1,1
101.171100870,0,1
101.188311360,0,0
101.191460470,1,0
101.207991520,1,1
101.210916290,0,1
101.228075350,0,0
101.231076490,1,0
101.248117890,1,1
101.251028840,0,1
101.267964380,0,0
101.270923780,1,0
101.288302700,1,1
101.291345430,0,1
101.308115380,0,0
101.311098660,1,0
101.328087890,1,1
101.330996070,0,1
101.348123400,0,0
101.351226080,1,0
101.368152470,1,1
101.371039790,0,1
101.388431700,0,0
101.391457260,1,0
101.408197510,1,1
101.411054610,0,1
101.427981610,0,0
101.431023040,1,0
101.448126890,1,1
101.451034560,0,1
101.468173560,0,0
101.471176530,1,0
101.488464920,1,1
101.491425430,0,1
101.507914530,0,0
101.511014380,1,0
101.527982960,1,1
101.530892890,0,1
101.548072980,0,0
101.551058060,1,0
101.569962630,1,1
101.573194490,0,1
101.588179040,0,0
101.591247180,1,0
